Date,Dividends
2014-04-23,0.167898
2014-07-23,0.201478
2014-10-22,0.201478
2015-01-28,0.214909
2015-04-22,0.214909
2015-07-22,0.214909
2015-10-21,0.214909
2016-01-27,0.221625
2016-04-20,0.221625
2016-07-20,0.228341
2016-10-19,0.228341
2017-01-25,0.231699
2017-04-19,0.231699
2017-07-19,0.231699
2017-10-19,0.231699
2018-01-25,0.235057
2018-04-12,0.235057
2018-07-19,0.38799617500000005
2018-10-18,0.38799617500000005
2019-01-24,0.3990817800000001
2019-04-17,0.3990817800000001
2019-07-18,0.3990817800000001
2019-10-17,0.3990817800000001
2020-01-23,0.42125299
2020-04-16,0.42125299
2020-07-23,0.42125299
2020-10-22,0.42125299
2021-01-21,0.44342420000000005
2021-04-22,0.44342420000000005
2021-07-22,0.44342420000000005
2021-10-21,0.44342420000000005
2022-01-20,0.46559541000000004
2022-04-21,0.46559541000000004
2022-07-21,0.46559541000000004
2022-10-20,0.46559541000000004
2023-01-19,0.4877666200000001
2023-04-20,0.4877666200000001
2023-07-20,0.4877666200000001
2023-10-19,0.4877666200000001
2024-01-18,0.5099378300000001
